full_name,team_logo_espn,first_td_times,first_td_rush,first_td_pass,teamTDperc,season,offense
Justin Herbert,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png,1,1,0,0.14285714285714285,2023,LAC
Justin Jefferson,https://a.espncdn.com/i/teamlogos/nfl/500/min.png,1,0,1,0.125,2020,MIN
Justin Watson,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png,1,0,1,0.125,2023,KC
Juwan Johnson,https://a.espncdn.com/i/teamlogos/nfl/500/no.png,1,0,1,0.125,2022,NO
K.J. Osborn,https://a.espncdn.com/i/teamlogos/nfl/500/min.png,1,0,1,0.09090909090909091,2021,MIN
Kadarius Toney,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png,1,0,1,0.125,2023,KC
Kaden Smith,https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png,1,0,1,0.14285714285714285,2019,NYG
Kalen Ballage,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png,1,1,0,0.14285714285714285,2019,MIA
Kalif Raymond,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,1,0,0,0.09090909090909091,2022,DET
Kareem Hunt,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,1,0,1,0.09090909090909091,2019,CLE
Kareem Hunt,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,1,0,1,0.07692307692307693,2022,CLE
Karl Joseph,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,1,0,0,0.1,2020,CLE
