full_name,team_logo_espn,first_td_times,first_td_rush,first_td_pass,teamTDperc,season,offense
Darrel Williams,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png,1,1,0,0.07142857142857142,2021,KC
Darrell Henderson,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png,1,1,0,0.1111111111111111,2020,LA
Darrell Henderson,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png,1,0,1,0.07692307692307693,2021,LA
Darren Fells,https://a.espncdn.com/i/teamlogos/nfl/500/hou.png,1,0,1,0.125,2019,HOU
Darren Waller,https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png,1,0,1,0.3333333333333333,2023,NYG
David Blough,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,1,0,1,0.1111111111111111,2019,DET
David Johnson,https://a.espncdn.com/i/teamlogos/nfl/500/hou.png,1,1,0,0.5,2020,HOU
David Montgomery,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png,1,1,0,0.125,2022,CHI
David Moore,https://a.espncdn.com/i/teamlogos/nfl/500/sea.png,1,0,1,0.09090909090909091,2020,SEA
David Njoku,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,1,0,1,0.07692307692307693,2022,CLE
David Njoku,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,1,0,1,0.14285714285714285,2023,CLE
Dawson Knox,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,1,0,1,0.125,2019,BUF
DeAndre Carter,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png,1,0,1,0.08333333333333333,2022,LAC
DeAndre Carter,https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png,1,0,1,0.2,2021,WAS
DeAndre Hopkins,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,1,0,1,0.1111111111111111,2020,ARI
DeAndre Hopkins,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png,1,0,1,0.25,2023,TEN
DeAndre Washington,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png,1,1,0,0.1,2019,LV
DeSean Jackson,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png,1,0,1,0.16666666666666666,2021,LV
DeVante Parker,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png,1,0,1,0.1111111111111111,2020,MIA
DeVonta Smith,https://a.espncdn.com/i/teamlogos/nfl/500/phi.png,1,0,1,0.07142857142857142,2022,PHI
DeeJay Dallas,https://a.espncdn.com/i/teamlogos/nfl/500/sea.png,1,1,0,0.09090909090909091,2021,SEA
Deebo Samuel,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,1,0,1,0.09090909090909091,2020,SF
Deebo Samuel,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,1,1,0,0.09090909090909091,2023,SF
Demarcus Lawrence,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png,1,0,0,0.07692307692307693,2022,DAL
Demarcus Robinson,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png,1,0,1,0.08333333333333333,2022,BAL
Demarcus Robinson,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png,1,0,1,0.07142857142857142,2021,KC
Demetrius Harris,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,1,0,1,0.09090909090909091,2019,CLE
Denzel Ward,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,1,0,0,0.09090909090909091,2019,CLE
Denzel Ward,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,1,0,0,0.09090909090909091,2021,CLE
Deonte Harris,https://a.espncdn.com/i/teamlogos/nfl/500/no.png,1,0,0,0.09090909090909091,2019,NO
Deonte Harris,https://a.espncdn.com/i/teamlogos/nfl/500/no.png,1,0,1,0.16666666666666666,2021,NO
Deonte Harty,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,1,0,1,0.14285714285714285,2023,BUF
Derek Carr,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png,1,1,0,0.14285714285714285,2020,LV
Derius Davis,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png,1,0,0,0.14285714285714285,2023,LAC
Derrick Henry,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png,1,1,0,0.14285714285714285,2019,TEN
Deshaun Watson,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,1,1,0,0.07692307692307693,2022,CLE
Deshaun Watson,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,1,1,0,0.14285714285714285,2023,CLE
Devin Bush,https://a.espncdn.com/i/teamlogos/nfl/500/pit.png,1,0,0,0.2,2019,PIT
Devin Duvernay,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png,1,0,1,0.1111111111111111,2021,BAL
Devin McCourty,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,1,0,0,0.125,2020,NE
Devin Singletary,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,1,0,1,0.1,2022,BUF
Devon Kennard,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,1,0,0,0.1111111111111111,2019,DET
Devonta Freeman,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,1,1,0,0.125,2019,ATL
Devonta Freeman,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png,1,1,0,0.1111111111111111,2021,BAL
Devontae Booker,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png,1,1,0,0.14285714285714285,2020,LV
